,1,2,3,4
0,3.31440167665234,2.2019827662180855,3.242194235334837,2.1508165939278125
1,3.2452444043137394,2.194939328679657,3.3123241408814135,2.2030626808566076
2,3.094207117775177,2.2192052954753296,3.11053678319414,2.140583631296782
3,3.257997030812041,2.3917799799751442,3.2103402963776486,2.364992405569559
4,2.4446692266326395,2.3078974596977107,2.484030211953862,2.370165771402371
5,2.493468953857067,3.0466374812620867,2.511112790480943,3.1652605830413774
6,2.4748201272947625,2.9516129580079737,2.491768520977864,2.9761009301328296
7,2.0579406637072735,3.0458878177532815,1.8946516519733254,3.037771775587174
8,2.0671830376767137,3.0294932596011006,2.1623448586130216,3.021137959581392
9,2.2715921514641564,3.3882643641717825,2.2708659373803104,3.4582717788654382
10,2.6741761903631236,3.6644906740139462,2.675022082839199,3.6429404403428687
11,2.7745774602735493,3.9004234700232114,2.7806888881103125,3.901621858183375
12,2.216167031886056,3.2947802671123,2.1479983847421718,3.2968066622496055
13,2.0825869949053453,3.1780778789374238,2.087507568337204,3.2040968228505635
14,2.098498505246806,3.230830313166221,2.066464497287097,3.0838851343611906
15,2.55526463125446,3.0493994847462664,2.593707383999514,3.434802113363648
16,2.5380135361595095,3.4752944824347294,2.595920158363373,3.689808284365746
17,2.5208146411166226,3.741774828971389,2.599282416240165,3.571801069761113
18,2.5632666101838217,3.629799022972571,2.6094263354521012,3.6193939626579774
19,1.8564845410618511,2.6339568101526694,1.863429723686856,2.6667454134128956
