,regressor,regressor_mode,center,coef_lower,coef,coef_upper,abs_coef
22,OBFRVOL,additive,0.0,0.0020118867479902063,0.0020118867479902063,0.0020118867479902063,0.0020118867479902063
52,EFFRVOL,additive,0.0,0.00594663596835277,0.00594663596835277,0.00594663596835277,0.00594663596835277
27,INFECTDISEMVTRACKD,additive,0.0,-0.007194262749296406,-0.007194262749296406,-0.007194262749296406,0.007194262749296406
37,CBUSAPPWNSAUS,additive,0.0,0.015138348118811184,0.015138348118811184,0.015138348118811184,0.015138348118811184
66,UNRATE,additive,0.0,0.01627566199144058,0.01627566199144058,0.01627566199144058,0.01627566199144058
46,BUSAPPWNSAUS,additive,0.0,-0.017198767305989404,-0.017198767305989404,-0.017198767305989404,0.017198767305989404
5,CBUSAPPWNSAUSYY,additive,0.0,0.018253006382355053,0.018253006382355053,0.018253006382355053,0.018253006382355053
63,BUSAPPWNSAUSYY,additive,0.0,-0.018380125384511385,-0.018380125384511385,-0.018380125384511385,0.018380125384511385
64,IOER,additive,0.0,-0.02393130979637644,-0.02393130979637644,-0.02393130979637644,0.02393130979637644
13,IORR,additive,0.0,-0.023948543832394528,-0.023948543832394528,-0.023948543832394528,0.023948543832394528
54,WLEMUINDXD,additive,0.0,-0.024069435516926276,-0.024069435516926276,-0.024069435516926276,0.024069435516926276
6,PCUAINFOAINFO,additive,0.0,0.02553185723211336,0.02553185723211336,0.02553185723211336,0.02553185723211336
48,FRGSHPUSM649NCIS,additive,0.0,-0.026794581199056,-0.026794581199056,-0.026794581199056,0.026794581199056
33,DFII10,additive,0.0,0.027535467521962627,0.027535467521962627,0.027535467521962627,0.027535467521962627
61,GVIPT52300S,additive,0.0,0.028688584166821157,0.028688584166821157,0.028688584166821157,0.028688584166821157
43,TEDRATE,additive,0.0,0.029453487011055754,0.029453487011055754,0.029453487011055754,0.029453487011055754
62,EFFR,additive,0.0,0.029523621927409083,0.029523621927409083,0.029523621927409083,0.029523621927409083
17,MEDCPIM158SFRBCLE,additive,0.0,0.03596382689635615,0.03596382689635615,0.03596382689635615,0.03596382689635615
24,DPCREDIT,additive,0.0,-0.03865886159433748,-0.03865886159433748,-0.03865886159433748,0.03865886159433748
49,DPRIME,additive,0.0,-0.04458848398743597,-0.04458848398743597,-0.04458848398743597,0.04458848398743597
25,ASEANTOT,additive,0.0,0.05565273058518676,0.05565273058518676,0.05565273058518676,0.05565273058518676
14,OBFR,additive,0.0,0.07914979712776178,0.07914979712776178,0.07914979712776178,0.07914979712776178
18,DEXUSUK,additive,0.0,0.08285751817260871,0.08285751817260871,0.08285751817260871,0.08285751817260871
26,SFTPAGRM158SFRBSF,additive,0.0,0.08673796239132793,0.08673796239132793,0.08673796239132793,0.08673796239132793
59,BAA10Y,additive,0.0,-0.09410263962849401,-0.09410263962849401,-0.09410263962849401,0.09410263962849401
36,GVIPT51110S,additive,0.0,-0.09585794555087429,-0.09585794555087429,-0.09585794555087429,0.09585794555087429
39,DEXUSEU,additive,0.0,-0.09767279828663308,-0.09767279828663308,-0.09767279828663308,0.09767279828663308
50,PCUARETTRARETTR,additive,0.0,0.1035069236602102,0.1035069236602102,0.1035069236602102,0.1035069236602102
21,GVIPT54220S,additive,0.0,-0.10504382882435571,-0.10504382882435571,-0.10504382882435571,0.10504382882435571
9,TSIFRGHT,additive,0.0,-0.11051974946219811,-0.11051974946219811,-0.11051974946219811,0.11051974946219811
28,DFII20,additive,0.0,-0.12150413758171547,-0.12150413758171547,-0.12150413758171547,0.12150413758171547
2,AAA10Y,additive,0.0,-0.13035363273619258,-0.13035363273619258,-0.13035363273619258,0.13035363273619258
29,GVIPT51120S,additive,0.0,-0.14696460704258357,-0.14696460704258357,-0.14696460704258357,0.14696460704258357
23,DFII30,additive,0.0,-0.1592266020546552,-0.1592266020546552,-0.1592266020546552,0.1592266020546552
30,EECTOT,additive,0.0,-0.15924226050975765,-0.15924226050975765,-0.15924226050975765,0.15924226050975765
65,DFII7,additive,0.0,0.16951362736478964,0.16951362736478964,0.16951362736478964,0.16951362736478964
11,PCUOMFGOMFG,additive,0.0,-0.18619648060440647,-0.18619648060440647,-0.18619648060440647,0.18619648060440647
3,T10YIE,additive,0.0,0.1890111766687853,0.1890111766687853,0.1890111766687853,0.1890111766687853
45,PCUAWHLTRAWHLTR,additive,0.0,-0.21899388882075846,-0.21899388882075846,-0.21899388882075846,0.21899388882075846
35,DFII5,additive,0.0,-0.23111423711591986,-0.23111423711591986,-0.23111423711591986,0.23111423711591986
34,PCUATRADEATRADE,additive,0.0,-0.23407799153012399,-0.23407799153012399,-0.23407799153012399,0.23407799153012399
38,PCUASHCASHC,additive,0.0,0.31735885811366515,0.31735885811366515,0.31735885811366515,0.31735885811366515
56,PCUOMINOMIN,additive,0.0,-0.39031832472126027,-0.39031832472126027,-0.39031832472126027,0.39031832472126027
55,PCUAMUMAMUM,additive,0.0,0.40073292727692905,0.40073292727692905,0.40073292727692905,0.40073292727692905
51,GVIPT521A3S,additive,0.0,-0.41157470092489934,-0.41157470092489934,-0.41157470092489934,0.41157470092489934
8,MORTGAGE15US,additive,0.0,0.4893837794519621,0.4893837794519621,0.4893837794519621,0.4893837794519621
20,DEXCHUS,additive,0.0,-0.49109738098987354,-0.49109738098987354,-0.49109738098987354,0.49109738098987354
47,GVIPT50030S,additive,0.0,0.5404838511753055,0.5404838511753055,0.5404838511753055,0.5404838511753055
58,TLBACBW027NBOG,additive,0.0,-0.6305939329216059,-0.6305939329216059,-0.6305939329216059,0.6305939329216059
